Player,Left Team,Joined Team
Nigel Martyn,Crystal Palace,Leeds
Reynald Pedros,Marseille,AC Parma
Turu Flores,Vélez Sarsfield,UD Las Palmas
Steffen Iversen,Rosenborg,Tottenham
Lee Clark,Newcastle,Sunderland
Ciriaco Sforza,Bayern Munich,Inter
Renato Buso,Napoli,Lazio
Juan Gómez,River Plate,Real Sociedad
Jesper Blomqvist,IFK Göteborg,Milan
Zé Elias,Corinthians,B. Leverkusen
Emmanuel Amunike,Sporting CP,Barcelona
John Scales,Liverpool,Tottenham
Meho Kodro,Barcelona,CD Tenerife
Goran Vlaovic,Padova,Valencia
Bebeto,Sevilla FC,EC Vitória
Marcelo Salas,U. de Chile,River Plate
Vinny Samways,Everton,UD Las Palmas
Ben Thatcher,Millwall,Wimbledon FC
Patrick Blondeau,Monaco,Sheff Wed
Ismael Urzaiz,Espanyol,Athletic
Martin Dahlin,Bor. M'gladbach,AS Roma
Andreas Herzog,Bayern Munich,Werder Bremen
Vladislav Radimov,CSKA Moscow,Real Zaragoza
Bebeto,Dep. La Coruña,Flamengo
Mark Schwarzer,Bradford,Middlesbrough
Vladimir Smicer,Slavia Prague,Lens
Nuno Espírito Santo,Vit. Guimarães,Dep. La Coruña
Ole Gunnar Solskjær,Molde FK,Man Utd
Jordi Cruyff,Barcelona,Man Utd
Romário,Flamengo,Valencia
Juan Esnáider,Real Madrid,Atlético Madrid
Hristo Stoichkov,AC Parma,Barcelona
Steve Lomas,Man City,West Ham
Matt Elliott,Oxford United,Leicester
René Schneider,Hansa Rostock,Bor. Dortmund
Nicolas Ouédec,FC Nantes,Espanyol
Paul Furlong,Chelsea,Birmingham
Ronny Johnsen,Besiktas,Man Utd
Diego Klimowicz,Instituto AC,Rayo Vallecano
Julian Joachim,Leicester,Aston Villa
Renaldo,Atlético-MG,Dep. La Coruña
Predrag Stankovic,Red Star,Hércules CF
Daniel Amokachi,Everton,Besiktas
Adrian Ilie,Steaua Bucharest,Galatasaray
Allan Nielsen,Bröndby IF,Tottenham
Reynald Pedros,FC Nantes,Marseille
Kléber Pereira,Náutico,FC Sion
Paolo Di Canio,Milan,Celtic
Bodo Illgner,1.FC Köln,Real Madrid
Vladimir Beschastnykh,Werder Bremen,Racing
Emre Aşık,Fenerbahce,Istanbulspor
Aleksandr Mostovoy,R. Strasbourg,Celta de Vigo
Per Frandsen,FC Copenhagen,Bolton
César La Paglia,Argentinos Jrs.,Boca Juniors
Virgilio Ferreira,Cerro Porteño,Real Betis
Marcus Stewart,Bristol Rovers,Huddersfield
Paco Luna,Albacete,Sporting Gijón
