Player,Left Team,Joined Team
Hussein Yasser,SC Braga,Boavista
Giannis Skopelitis,AO Egaleo,Anorthosis
Francis Kioyo,Energie Cottbus,Maccabi Netanya
Craig Moore,Newcastle,Brisbane Roar
Aleksandr Makarov,KS Samara,Saturn Ramenskoe
Tamás Kádár,Zalaegerszeg,Newcastle
Ken Fagerberg,Örgryte,FC Midtjylland
Mikele Leigertwood,Sheff Utd,QPR
Renato Ribeiro,Atlético-MG,Maccabi Haifa
Mikael Antonsson,Panathinaikos,FC Copenhagen
Marian Had,Loko Moscow,Sporting CP
Marc Nygaard,QPR,Randers FC
Matteo Sereni,Lazio,Torino
Martin Kolar,RSC Anderlecht,Helsingborgs IF
Daniele De Vezze,Messina Peloro,AS Livorno
Robbie Elliott,Leeds,Hartlepool
Salvatore Masiello,Udinese,Vicenza
Leonardo Jesus,Portuguesa,Olympiacos
Enrico Alfonso,Chievo Verona,Inter
Marcelo Mattos,Corinthians,Panathinaikos
Jonathan Sesma,Cádiz CF,Real Valladolid
Maximiliano Pellegrino,Vélez Sarsfield,Atalanta BC
Wilson Palacios,CD Olimpia,Wigan
Mike Tullberg,Aarhus GF,Reggina
Ivan Taranov,CSKA Moscow,KS Samara
Salim Tuama,Hapoel Tel Aviv,Standard Liège
Mauro Cejas,Newell's,UAG Tecos
Pablo Guiñazú,Libertad,Internacional
Jacob Mellis,Sheff Utd U18,Chelsea U18
Michaël Ciani,AJ Auxerre,FC Lorient
Soumaila Coulibaly,SC Freiburg,Bor. M'gladbach
Bojan Zajic,Partizan,Vålerenga
Christian Gentner,VfB Stuttgart,VfL Wolfsburg
Bojan Vrucina,Slaven Belupo,MSV Duisburg
Israel Damonte,Arsenal Sarandí,Asteras Tripoli
Slobodan Rajković,Chelsea,PSV Eindhoven
Bengt Saeternes,Brann,Odense BK
Lukasz Surma,Legia Warszawa,Maccabi Haifa
Ibrahim Said,C. Rizespor,Ankaragücü
Ivica Banovic,1.FC Nuremberg,SC Freiburg
Bengt Saeternes,Odense BK,Vålerenga
Simone Cavalli,Vicenza,Bari
Andy Johnson,Leicester,Barnsley FC
Mark de Vries,Leicester,Leeds
Tomislav Sokota,FC Porto,Dinamo Zagreb
Adrian Iencsi,Ceahlăul,Apol. Limassol
Davide Chiumiento,Juventus,FC Luzern
Boubacar Copa,KSK Beveren,KSC Lokeren
Athirson,B. Leverkusen,Botafogo
Gavin Rae,Rangers,Cardiff
Nené,Urawa Reds,Coritiba FC
Ümit Aydın,Kayserispor,Istanbulspor
Atsuhiro Miura,Vissel Kobe,Yokohama FC
Olivier Thomas,Le Mans UC 72,FC Nantes
Nicolas Marin,CS Sedan,FC Lorient
Ferhat Öztorun,Galatasaray,Manisaspor
Alejandro Lembo,Real Betis,Danubio FC
Mario Méndez,Vélez Sarsfield,Toluca
Cem Baki,C. Rizespor,Altay SK
Gregory Dufer,Club Brugge,Standard Liège
Diogo Valente,FC Porto,Leixões
Lukasz Surma,Maccabi Haifa,Bnei Sakhnin
Alejandro Corona,Jaguares,Tiburones Rojos
Javier Cámpora,Jaguares,Puebla FC
Melvin Brown,Jaguares,Puebla FC
Ricardo,Kuban Krasnodar,Spartak Nalchik
Christian Cellay,Huracán,Estudiantes II
Federico Higuaín,River Plate,Besiktas
Renat Yanbaev,Kuban Krasnodar,Loko Moscow
Guilherme,Atlético-PR,Loko Moscow
Vedin Music,Torino,Padova
Richard Eromoigbe,Levski Sofia,Khimki
İlhan Parlak,Kayserispor,Fenerbahce
Edixon Perea,G. Bordeaux,Grêmio
Yasin Çakmak,C. Rizespor,Fenerbahce
Ricardo Cabanas,1.FC Köln,Grasshoppers
Milos Bajalica,Red Star,Nagoya Grampus
David Marshall,Celtic,Norwich
Oleg Ivanov,Kuban Krasnodar,KS Samara
Gavin Mahon,Watford,QPR
Eddie Lewis,Leeds,Derby
Juan Krupoviesa,Boca Juniors,Marseille
Barry Hayles,Plymouth,Leicester
Aílton,Red Star,MSV Duisburg
Mustafa Sarp,K. Erciyesspor,Bursaspor
Martin Andresen,Brann,Vålerenga
Sándor Torghelle,PAOK Salonika,Carl Zeiss Jena
Hakkı Hocaoğlu,Sivasspor,Kocaelispor
Özden Öngün,Konyaspor,C. Rizespor
Kürşat Duymuş,K. Erciyesspor,C. Rizespor
Suat Usta,Sakaryaspor,C. Rizespor
Spyros Vallas,Olympiacos,Skoda Xanthi
Adrián Martín,Real Murcia,Xerez CD
Hakkı Hocaoğlu,Kocaelispor,Samsunspor
Gunnar Nielsen,BK Frem,Blackburn
Stern John,Sunderland,Southampton
Júnior,Malmö FF,FC Copenhagen
Tony Sergeant,Zulte Waregem,Bari
Daniël de Ridder,Ajax,Birmingham
Lee Martin,Man Utd,Sheff Utd
Phil Bardsley,Man Utd,Sheff Utd
Gjorgji Hristov,Olympiakos N.,FC Den Bosch
Marco Motta,Udinese,Torino
Haruna Babangida,Olympiacos,Apol. Limassol
Craig Dargo,Inverness CT,St. Mirren
Paul Gallagher,Blackburn,Preston
Nourdin Boukhari,FC Nantes,Sparta R.
Mirsad Beslija,Heart of Midl.,Sint-Truiden
Paul Gallagher,Blackburn,Stoke City
Tony Sergeant,Bari,Cercle Brugge
Özgür Bayer,K. Erciyesspor,Gaziantepspor
Peter Enckelman,Blackburn,Cardiff
Roberto Acuña,Rosario Central,Olimpia
Giannis Taralidis,Olympiacos,OFI Crete FC
Zafer Demir,Sakaryaspor,Denizlispor
Maurizio Ciaramitaro,US Palermo,Chievo Verona
Vitolo,Racing,Celta de Vigo
Ricardo Faty,AS Roma,FC Nantes
Don Hutchison,Coventry,Luton
Reinaldo Navia,Atlas,CA Colon
Franck Béria,FC Metz,LOSC Lille
Santiago Carpintero,Alavés,Málaga CF
Rossato,Real Sociedad,Málaga CF
Glen Salmon,NAC Breda,PAOK Salonika
Diego Villar,Arsenal Sarandí,Gimnasia
Janne Saarinen,FC Honka,Häcken
Maceo Rigters,Blackburn,Norwich
Martin Taylor,Birmingham,Norwich
Fevzi Tuncay,Manisaspor,Malatyaspor
Hans van de Haar,RKC Waalwijk,ADO Den Haag
Jorge Bolaño,Parma,Modena
Miguel Garcia,Sporting CP,Reggina
Édson Araújo,Ceilândia,Rio Claro
Reinaldo Navia,CA Colon,Racing Club
Facundo Torres,San Martín (SJ),Instituto AC
Gary Teale,Derby,Plymouth
Lee Martin,Man Utd,Plymouth
Ahmet Çağıran,Denizlispor,Karsiyaka
Denis Boyarintsev,Spartak Moscow,Shinnik Yaroslav
Luis Aguiar,FC Porto,CF Estrela
Marcelo Gallardo,Paris SG,D.C. United
Zé Carlos,SC Braga,APOEL Nicosia
Geoff Horsfield,Sheff Utd,Scunthorpe Utd.
Luis Aguiar,FC Porto,Coimbra
Juanma Ortiz,Poli Ejido,UD Almería
Craig Fleming,Rotherham,King's Lynn
Eder Ceccon,Criciúma EC,Marcílio Dias
Freddy Bareiro,Libertad,León
Georgios Vakouftsis,Omonia Nikosia,Ergotelis
Marius Baciu,Otelul Galati,U Cluj
Édson Araújo,Rio Claro,Daejeon Citizen
Gil,Gimnàstic,Internacional
Murat Ocak,Trabzonspor,Büyüksehir Bld
Benjamin Psaume,Toulouse,US Boulogne
Derlis Gómez,Quilmes,Nacional
Eder Ceccon,Konyaspor,Criciúma EC
Toni Prats,RCD Mallorca,Hércules CF
Simon Colosimo,Perth Glory,Sydney FC
Marius Baciu,U Cluj,Gaz Metan
Emmanuel Olisadebe,Skoda Xanthi,APOP Kinyras
Andrejs Stolcers,Skonto,Olimps Riga
Cédric Bardon,Levski Sofia,Bnei Yehuda
Emmanuel Olisadebe,APOP Kinyras,HN Jianye
Édson Araújo,Juventus-SP,Ceilândia
Predrag Pazin,SD Luneng,Loko Mezdra
Domenico Giampà,Ascoli,Modena
Pedro Botelho,Figueirense U17,Arsenal
Kristofer Haestad,Start,Vålerenga
Marcel Schäfer,1860 Munich,VfL Wolfsburg
Maceo Rigters,NAC Breda,Blackburn
Martin Fillo,Viktoria Plzen,Viking
Kamel Chafni,AC Ajaccio,AJ Auxerre
Ifeanyi Emeghara,Poli Timișoara,Steaua Bucharest
José Sand,River Plate,Lanús
Ranko Despotovic,Vojvodina,Rapid Bucharest
Edgar Cani,Pescara,US Palermo
Njogu Demba-Nyrén,Esbjerg fB,Brann
Pablo Álvarez,Nacional,Reggina
Andrea Parola,Sampdoria,Cagliari Calcio
Williams Martínez,Defensor SC,Valenciennes FC
Carlos Sánchez,River Plate,Valenciennes FC
Dieumerci Mbokani,TP Mazembe,Standard Liège
Sung-ryong Jung,Pohang Steelers,Seongnam Ilhwa
Walter Vílchez,CD Cruz Azul,Puebla FC
Kevin Nicholls,Leeds,Preston
Andrius Velicka,Heart of Midl.,Viking
Diego Tardelli,São Paulo,Flamengo
Aleksandr Belozerov,KamAZ,KS Samara
Federico Higuaín,Besiktas,América
Boris Smiljanic,FC Basel,Grasshoppers
Andrea Cossu,Hellas Verona,Cagliari Calcio
Sambégou Bangoura,Stoke City,Boavista
Daniel Gunkel,Energie Cottbus,1.FSV Mainz 05
Claudiu Niculescu,FC Dinamo,MSV Duisburg
Jan Simak,Sparta Prague,Carl Zeiss Jena
Blagoy Georgiev,Red Star,MSV Duisburg
Michael Delura,FC Schalke 04,Panionios
Damien Perquis,Saint-Étienne,FC Sochaux
Olivier De Cock,Club Brugge,F. Düsseldorf
Alexander Iashvili,SC Freiburg,Karlsruher SC
Fahri Tatan,Besiktas,C. Rizespor
Morten Bisgaard,Derby,Odense BK
William,Grêmio,Corinthians
Paulo Sérgio,Palmeiras,Grêmio
Youssouf Hersi,Vitesse,Twente FC
Éric Cubilier,FC Nantes,FC Metz
Jhonny van Beukering,De Graafschap,NEC Nijmegen
Carlos Paredes,Sporting CP,Olimpia
Gonzalo Vargas,Monaco,FC Sochaux
Sebastián Pardo,Feyenoord,Excelsior
Serkan Özdemir,Diyarbakirspor,Eskisehirspor
Nicolas Savinaud,FC Nantes,Guingamp
Waldo Ponce,U. de Chile,Vélez Sarsfield
Antonio Mirante,Juventus,Sampdoria
Miroslaw Sznaucner,Iraklis,PAOK Salonika
Christophe Avezac,Dijon,AC Ajaccio
Roberto Sousa,Celta de Vigo,Racing Ferrol
Zafer Demiray,Bursaspor,Malatyaspor
Aydın Yılmaz,Galatasaray,Manisaspor
Jonathan Aspas,Celta de Vigo,Piacenza
Esteban Buján,Banfield,Albacete
Ariel Carreño,San Martín (SJ),Millonarios
Marcelo Berza,Gimnasia (J),Belgrano
Marius Niculae,1.FSV Mainz 05,Inverness CT
Yasin Çelik,Ankaragücü,Sakaryaspor
Sambégou Bangoura,Boavista,Cádiz CF
Konstantinos Charalampidis,Carl Zeiss Jena,APOEL Nicosia
Ferdi Elmas,C. Rizespor,Ankaraspor
Alex Dias,Fluminense,Goiás
Veljko Paunovic,Rubin Kazan,UD Almería
João Moreira,Valencia,Leixões
Marco Storari,AC Milan,Levante
Emanuel Rivas,Iraklis,CA Talleres
Christos Maladenis,Panthrakikos,AO Trikala
Emanuel Rivas,CA Talleres,Arezzo
Sebastián González,Tigres UANL,UAG Tecos
Ibrahima Bakayoko,Messina Peloro,AE Larisa
Razak Pimpong,Viking,Aalesund
Kyung-ho Chung,Ulsan Hyundai,Jeonbuk Hyundai
Matías Pavoni,Cádiz CF,Asteras Tripoli
Aydın Yılmaz,Galatasaray,Büyüksehir Bld
Bernard Samuel Tchoutang,H. Petah Tikva,KF Elbasani
Christos Maladenis,APO Levadiakos,Panthrakikos
Nuno André Coelho,FC Porto,Portimonense
Marcin Zewlakow,KAA Gent,FCV Dender EH
Damián Manso,Skoda Xanthi,LDU Quito
Patrício,Grêmio,Portuguesa
Sandro Mendonça,Genclerbirligi,GB Oftasspor
Sabri Lamouchi,Al-Rayyan SC,Umm Salal SC
Zlatko Junuzovic,Grazer AK,Austria Kärnten
Giovanni Hernández,Colo-Colo,Junior FC
Semavi Uzun,Cankirispor,Balikesirspor
Fabio Macellari,Sangiovannese,Villasimius
Milan Pacanda,Sparta Prague,1. FC Brno
Timofey Kalachev,Rostov,KS Samara
Youssef Safri,Norwich,Southampton
Walter Ribonetto,Lanús,Rosario Central
Dennis Sörensen,FC Midtjylland,Energie Cottbus
Jérôme Boateng,Hertha BSC,Hamburger SV
Tim Matavz,ND Gorica,FC Groningen
Stefán Gíslason,Lyn,Bröndby IF
Dioh Williams,Häcken,Aarhus GF
Mat Sadler,Birmingham,Watford
Germán Montoya,Belgrano,Vélez Sarsfield
Antonio Calle,Albacete,Gimnàstic
Blas Pérez,Cúcuta Dep.,Hércules CF
Dario Passoni,AS Livorno,Mantova
Georgios Barkoglou,Skoda Xanthi,Apol. Kalamarias
Avdija Vrsajevic,Celik Zenica,Sparta Prague
Richard Kingson,Ankaraspor,Birmingham
Anderson Costa,Dinamo Zagreb,Aris Saloniki
Carlos Bueno,Boca Juniors,Peñarol
Paul Dickov,Man City,Crystal Palace
Dragan Bogavac,W. Burghausen,TuS Koblenz
Vangelis Moras,AEK Athens,Bologna
Juan Mata,RM Castilla,Valencia
Ignacio Quinteros,CA Colon,Gimnasia
Paul Dickov,Man City,Blackpool
Diego Manicero,Lanús,Racing Club
Grzegorz Szamotulski,Sturm Graz,Dundee United
Manú,Benfica,AEK Athens
Dzhambulad Bazaev,Rubin Kazan,Alania
Sergiy Pylypchuk,Spartak Nalchik,Khimki
Avdija Vrsajevic,Sparta Prague,Kladno
Raphael Wicky,FC Sion,Chivas USA
Hakim Saci,Umm Salal SC,US Boulogne
Anderson Costa,Dinamo Zagreb,EC Bahia
Hakim Saci,Cannes,Umm Salal SC
Carlos Chaile,FC Pasching,Austria Kärnten
Clayton,Sakaryaspor,Stade Gabèsien
Paul Gerrard,Sheff Utd,Blackpool
Darío Bottinelli,U. Católica,San Lorenzo
Darío Bottinelli,San Lorenzo,U. Católica
Peter Hlinka,Rapid Vienna,FC Augsburg
Craig Fagan,Derby,Hull City
Franco Niell,Argentinos Jrs.,D.C. United
Demba Ba,Exc. Mouscron,TSG Hoffenheim
Macauley Chrisantus,Hearts of Abuja,Hamburger SV
Danny Rose,Leeds U18,Tottenham
Zlatan Ljubijankic,NK Domzale,KAA Gent
Alexis Sánchez,Udinese,River Plate
Josu Sarriegi,Athletic,Panathinaikos
Robert Popov,Litex Lovech,AJ Auxerre
Adrian Neaga,Seongnam Ilhwa,Steaua Bucharest
Róbinson Zapata,Cúcuta Dep.,Steaua Bucharest
Romeo Surdu,CFR Cluj,Steaua Bucharest
Nino Pekaric,Vojvodina,FC Dinamo
Cássio,Grêmio,PSV Eindhoven
Gökhan Inler,FC Zürich,Udinese
Ivica Vrdoljak,NK Zagreb,Dinamo Zagreb
Ovidiu Herea,Progresul,Rapid Bucharest
Omer Golan,M. Petah Tikva,KSC Lokeren
Vedad Ibisevic,Alem. Aachen,TSG Hoffenheim
David Edwards,Luton,Wolves
Fabrício,Júbilo Iwata,Cruzeiro
Jônatas,Espanyol,Flamengo
Volodymyr Yezerskyi,Dnipro,Shakhtar D.
Luca Antonini,Sampdoria,FC Empoli
Kandia Traoré,Al-Wasl,FC Sochaux
Manucho,Petro Luanda,Man Utd
Anej Lovrecic,FC Koper,Lecce
Andrei Prepeliță,FC Arges,U. Craiova
Andreas Granqvist,Helsingborgs IF,Wigan
Fredrik Berglund,FC Copenhagen,Elfsborg
Ibrahima Camara,Parma,Le Mans UC 72
Barak Itzhaki,B. Jerusalem,KRC Genk
Soufiane Alloudi,Raja Casablanca,Al-Ain FC
Sergio Pacheco,Metalurg D.,Sivasspor
Francesco Baldini,Perugia,FC Lugano
Rômulo,Cruzeiro,B. Jerusalem
Guerrino Gasparello,Rovigo Calcio,Pro Patria
Pablo Granoche,Coatzacoalcos,Triestina
Dimitar Makriev,NK Maribor,FC Ashdod
Prince Tagoe,Al-Shaab,Al-Ettifaq
Niklas Sandberg,AIK,CFR Cluj
Amoreirinha,Benfica,CFR Cluj
Aleksandar Kolarov,OFK Beograd,Lazio
Davide Matteini,US Palermo,Parma
Grégory Paisley,Troyes,R. Strasbourg
Fredrik Stenman,B. Leverkusen,FC Groningen
René Makondele,Gefle,Helsingborgs IF
Sebastián Dubarbier,Gimnasia,CFR Cluj
Rolan Gusev,CSKA Moscow,Dnipro
Ahmed Fathi,Sheff Utd,El Ahly
Stephen Elliott,Sunderland,Wolves
Líbero Parri,Albacete,Cádiz CF
Ahmad Sharbini,HNK Rijeka,Al-Wahda
Gervinho,KSK Beveren,Le Mans UC 72
Ricardo Faty,AS Roma,B. Leverkusen
Mauricio Molina,Red Star,Santos
Ivan Sproule,Hibernian FC,Bristol City
Soslan Dzhanaev,KamAZ,Spartak Moscow
Luís Filipe,SC Braga,Benfica
Alberto Regazzoni,FC Sion,BSC Young Boys
Stefano Lucchini,FC Empoli,Sampdoria
Aleksey Rebko,Spartak Moscow,Rubin Kazan
Hosny Abd Rabo,R. Strasbourg,Ismaily
Ousmane N'Doye,Coimbra,FC Vaslui
João Pereira,Gil Vicente,SC Braga
Luke Steele,West Brom,Barnsley FC
Kirill Orlov,FC Moscow,Sibir
Sebastian Mila,Vålerenga,LKS Lodz
Weifeng Li,SH Shenhua,HB Wuhan
Antunes,Paços Ferreira,AS Roma
Mimoun Azaouagh,FC Schalke 04,VfL Bochum
Andrew Davies,Middlesbrough,Southampton
Michalis Sifakis,OFI Crete FC,Olympiacos
Hossein Kaebi,Piroozi FC,Leicester
Zézéto,Metalurg D.,Metalist
Roel Brouwers,SC Paderborn,Bor. M'gladbach
Fabio Vignaroli,Bari,Lazio
Andreas Ibertsberger,SC Freiburg,TSG Hoffenheim
Erik Hagen,Zenit S-Pb,Wigan
Tiago Targino,Vit. Guimarães,Manisaspor
Juraj Ancic,Slovan Liberec,MSK Zilina
Dimitar Rangelov,R. Strasbourg,Energie Cottbus
Axel Lawarée,FC Augsburg,F. Düsseldorf
Fernando Ávalos,Nacional,MSV Duisburg
Beto,Benfica,FC Sion
David Ducourtioux,CS Sedan,Valenciennes FC
Tobias Grahn,Gimnàstic,Hertha BSC
Matías Concha,Djurgården,VfL Bochum
Mourad Hdiouad,CSKA Sofia,FC Augsburg
Alexandre Bonnet,Toulouse,CS Sedan
João Guilherme,Internacional,Marítimo
Beshir El Tabei,C. Rizespor,Zamalek
Freddy,Doxa Katokopias,EN Paralimniou
Ahmed Fathi,El Ahly,Kazma SC
Nicky Forster,Hull City,Brighton
Mart Poom,Arsenal,Watford
Claudio Marchisio,Juventus,FC Empoli
Lucas,Boavista,Red Star
Marco Storari,AC Milan,Cagliari Calcio
Michael Beauchamp,Central Coast,1.FC Nuremberg
Oliver Kirch,Bor. M'gladbach,Arm. Bielefeld
Hans Sarpei,VfL Wolfsburg,B. Leverkusen
Maksim Romashchenko,Torpedo Moskau,Bursaspor
Alan Stubbs,Everton,Derby
Stefan Wächter,Hamburger SV,Hansa Rostock
Mathias Schober,Hansa Rostock,FC Schalke 04
Binho,Vitória Setúbal,Iraklis
Stefan Buck,Unterhaching,Karlsruher SC
Andreas Görlitz,Bayern Munich,Karlsruher SC
Heiko Butscher,VfL Bochum,SC Freiburg
Fernando Torres,Liverpool,Chelsea
Zlatan Ibrahimović,Barcelona,AC Milan
David Villa,Valencia,Barcelona
Andy Carroll,Newcastle,Liverpool
Edin Dzeko,VfL Wolfsburg,Man City
Ángel Di María,Benfica,Real Madrid
David Silva,Valencia,Man City
Yaya Touré,Barcelona,Man City
Mario Balotelli,Inter,Man City
Robinho,Man City,AC Milan
Ronaldinho,AC Milan,Flamengo
Mesut Özil,Werder Bremen,Real Madrid
Luis Suárez,Ajax,Liverpool
Javier Mascherano,Liverpool,Barcelona
David Luiz,Benfica,Chelsea
Diego,Juventus,VfL Wolfsburg
Aleksandar Kolarov,Lazio,Man City
Emmanuel Adebayor,Man City,Real Madrid
Yoann Gourcuff,G. Bordeaux,Olympique Lyon
James Milner,Aston Villa,Man City
Ramires,Benfica,Chelsea
Bruno Alves,FC Porto,Zenit S-Pb
Darren Bent,Sunderland,Aston Villa
Joe Cole,Chelsea,Liverpool
Carlos Eduardo,TSG Hoffenheim,Rubin Kazan
Adriano,Sevilla FC,Barcelona
Michael Ballack,Chelsea,B. Leverkusen
Giampaolo Pazzini,Sampdoria,Inter
Antonio Cassano,Sampdoria,AC Milan
Sami Khedira,VfB Stuttgart,Real Madrid
Ricardo Carvalho,Chelsea,Real Madrid
Luiz Gustavo,TSG Hoffenheim,Bayern Munich
Marco Borriello,AC Milan,AS Roma
André-Pierre Gignac,Toulouse,Marseille
Asamoah Gyan,Stade Rennais,Sunderland
Loïc Rémy,OGC Nice,Marseille
Leonardo Bonucci,Bari,Juventus
Milos Krasic,CSKA Moscow,Juventus
Dmytro Chygrynskyi,Barcelona,Shakhtar D.
Jérôme Boateng,Hamburger SV,Man City
Rafael van der Vaart,Real Madrid,Tottenham
Marouane Chamakh,G. Bordeaux,Arsenal
João Moutinho,Sporting CP,FC Porto
Zvjezdan Misimovic,VfL Wolfsburg,Galatasaray
Klaas-Jan Huntelaar,AC Milan,FC Schalke 04
Albert Riera,Liverpool,Olympiacos
Fabio Quagliarella,Napoli,Juventus
Hernanes,São Paulo,Lazio
Raúl Meireles,FC Porto,Liverpool
Andrea Ranocchia,Genoa,Inter
José Manuel Jurado,Atlético Madrid,FC Schalke 04
Stephen Ireland,Man City,Aston Villa
Alberto Aquilani,Liverpool,Juventus
Stephen Ireland,Aston Villa,Newcastle
Laurent Koscielny,FC Lorient,Arsenal
Simon Kjaer,US Palermo,VfL Wolfsburg
Filipe Luís,Dep. La Coruña,Atlético Madrid
Aiden McGeady,Celtic,Spartak Moscow
Jorge Martínez,Catania,Juventus
Aleksandr Bukharov,Rubin Kazan,Zenit S-Pb
Diego Godín,Villarreal,Atlético Madrid
Rafinha,FC Schalke 04,Genoa
Ricardo Quaresma,Inter,Besiktas
Lorik Cana,Sunderland,Galatasaray
Yakubu Aiyegbeni,Everton,Leicester
Kevin Kuranyi,FC Schalke 04,Dinamo Moscow
Craig Bellamy,Man City,Cardiff
Thierry Henry,Barcelona,New York
Miguel Veloso,Sporting CP,Genoa
Giuliano,Internacional,Dnipro
Seydou Doumbia,BSC Young Boys,CSKA Moscow
Mamadou Niang,Marseille,Fenerbahce
Edinson Cavani,US Palermo,Napoli
Keirrison,Barcelona,Santos
Sulley Muntari,Inter,Sunderland
Obafemi Martins,VfL Wolfsburg,Rubin Kazan
Eduardo,Arsenal,Shakhtar D.
Yossi Benayoun,Liverpool,Chelsea
Ilsinho,Shakhtar D.,Desp. Brasil
Sandro,Internacional,Tottenham
Nicolás Pareja,Espanyol,Spartak Moscow
Pedro León,Getafe,Real Madrid
Roberto Soldado,Getafe,Valencia
Jucilei,Corinthians,Anzhi
Kenwyne Jones,Sunderland,Stoke City
Abdul Kader Keita,Galatasaray,Al-Sadd SC
Oleksandr Aliev,Loko Moscow,Dynamo Kyiv
Nenê,Monaco,Paris SG
Gaetano D'Agostino,Udinese Calcio,Fiorentina
Ibrahim Afellay,PSV Eindhoven,Barcelona
Liedson,Sporting CP,Corinthians
Robbie Keane,Tottenham,West Ham
Amauri,Juventus,Parma
John Carew,Aston Villa,Stoke City
Deco,Chelsea,Fluminense
Zoran Tosic,Man Utd,CSKA Moscow
Salvatore Bocchetti,Genoa,Rubin Kazan
Steven Pienaar,Everton,Tottenham
Artur Boruc,Celtic,Fiorentina
Fábio Simplício,US Palermo,AS Roma
Sidney Govou,Olympique Lyon,Panathinaikos
Moubarak Boussoufa,RSC Anderlecht,Anzhi
Heiko Westermann,FC Schalke 04,Hamburger SV
Zvjezdan Misimovic,Galatasaray,Dinamo Moscow
Simone Pepe,Udinese Calcio,Juventus
Ivan Rakitic,FC Schalke 04,Sevilla FC
Marcus Berg,Hamburger SV,PSV Eindhoven
Simão,Atlético Madrid,Besiktas
Marco Amelia,Genoa,AC Milan
Raúl,Real Madrid,FC Schalke 04
William Gallas,Arsenal,Tottenham
Mahamadou Diarra,Real Madrid,Monaco
Martin Petrov,Man City,Bolton
Rafa Márquez,Barcelona,New York
Davide Santon,Inter,Cesena
David Trezeguet,Juventus,Hércules CF
Bebé,Vit. Guimarães,Man Utd
Sebastián Blanco,Lanús,Metalist
Roberto,Atlético Madrid,Benfica
Víctor Ruiz,Espanyol,Napoli
Stéphane Sessègnon,Paris SG,Sunderland
Jonathan Biabiany,Inter,Sampdoria
Gojko Kacar,Hertha BSC,Hamburger SV
Patrick Helmes,B. Leverkusen,VfL Wolfsburg
Alessandro Matri,Cagliari Calcio,Juventus
Andrea Barzagli,VfL Wolfsburg,Juventus
Milan Jovanovic,Standard Liège,Liverpool
David Bentley,Tottenham,Birmingham
Nico Gaitán,Boca Juniors,Benfica
André Felipe,Santos,Dynamo Kyiv
Chris Smalling,Fulham,Man Utd
Ismaël Bangoura,Stade Rennais,Al-Nasr SC
Luís Fabiano,Sevilla FC,São Paulo
Dieumerci Mbokani,Standard Liège,Monaco
Nikola Zigic,Valencia,Birmingham
Sébastien Squillaci,Sevilla FC,Arsenal
Alex,Spartak Moscow,Corinthians
Barreto,Udinese Calcio,Bari
Urby Emanuelson,Ajax,AC Milan
Hugo Almeida,Werder Bremen,Besiktas
Valon Behrami,West Ham,Fiorentina
Manuel Fernandes,Valencia,Besiktas
Joseph Yobo,Everton,Fenerbahce
Adriano,Flamengo,AS Roma
Luca Toni,Bayern Munich,Genoa
Jimmy Briand,Stade Rennais,Olympique Lyon
Eduardo,SC Braga,Genoa
Wesley,Santos,Werder Bremen
Chicharito,Chivas,Man Utd
Mario Mandžukić,Dinamo Zagreb,VfL Wolfsburg
Jean Makoun,Olympique Lyon,Aston Villa
Mousa Dembélé,AZ Alkmaar,Fulham
Mehmet Topal,Galatasaray,Valencia
Mounir El Hamdaoui,AZ Alkmaar,Ajax
Jonathan Biabiany,Parma,Inter
Rod Fanni,Stade Rennais,Marseille
Mauro Boselli,Estudiantes LP,Wigan
Alberto Zapater,Genoa,Sporting CP
Mauro Boselli,Wigan,Genoa
Diogo,Olympiacos,Flamengo
Antonio Candreva,Udinese Calcio,Parma
Martín Cáceres,Barcelona,Sevilla FC
Fernando Cavenaghi,G. Bordeaux,RCD Mallorca
James Rodríguez,Banfield,FC Porto
Steven Fletcher,Burnley,Wolves
Obafemi Martins,Rubin Kazan,Birmingham
Elias,Corinthians,Atlético Madrid
Andrea Rispoli,Brescia,Parma
Luca Antonelli,Parma,Genoa
Marc Janko,RB Salzburg,Twente FC
Ben Foster,Man Utd,Birmingham
Oleksandr Gladkyi,Shakhtar D.,Dnipro
Ryan Babel,Liverpool,TSG Hoffenheim
Aleksandar Luković,Udinese Calcio,Zenit S-Pb
Raffaele Palladino,Genoa,Parma
César Azpilicueta,CA Osasuna,Marseille
Hatem Ben Arfa,Marseille,Newcastle
Aritz Aduriz,RCD Mallorca,Valencia
Demba Ba,TSG Hoffenheim,West Ham
Carlos Marchena,Valencia,Villarreal
Sergio García,Real Betis,Espanyol
Aleksandr Hleb,Barcelona,Birmingham
Sebastian Giovinco,Juventus,Parma
Kenny Miller,Rangers,Bursaspor
Christian Gentner,VfL Wolfsburg,VfB Stuttgart
Roque Santa Cruz,Man City,Blackburn
Ilsinho,Desp. Brasil,São Paulo
Kris Boyd,Rangers,Middlesbrough
Marko Pantelic,Ajax,Olympiacos
Joaquín Boghossian,CA Cerro,RB Salzburg
Filip Holosko,Besiktas,Büyüksehir Bld
Issiar Dia,AS Nancy,Fenerbahce
Mattia Destro,Inter,Genoa
Víctor Montaño,Montpellier,Stade Rennais
Tino Costa,Montpellier,Valencia
Felipe,Udinese Calcio,Fiorentina
Marko Arnautovic,Twente FC,Werder Bremen
Senijad Ibricic,Hajduk Split,Loko Moscow
Tuncay Şanlı,Stoke City,VfL Wolfsburg
